"Jadual 1.2: Jangkaan hayat ketika lahir mengikut jantina dan kumpulan etnik, Malaysia, 1991-2024",,,,,,,,,,,,,,,,,,
"Table 1.2: Life expectancy at birth by sex and ethnic group, Malaysia, 1991-2024",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,Warganegara,,,,,,,,,,,,,,
Tahun,,,Jumlah,Citizens,,,,,,,,,,,,,Bukan,
Year,,,,,,,,,,,,,,,,,Warganegara Non-citizens,
,,,Total,,Jumlah1 Total1,,Bumiputera ,,,,,,Cina Chinese,,India Indians,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,Jumlah,,Melayu,,Bumiputera Lain,,,,,,,
,,,,,,,Total,,Malay,,Other Bumiputera,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Lelaki dan Perempuan,,,,,,,,,,,,,,,,,,
Both sexes,,,,,,,,,,,,,,,,,,
2007,,,71.6,,71.2,,70.3,,69.8,,72.5,,74.0,,67.7,,76.4,
2008,,,71.6,,71.1,,70.2,,69.8,,72.5,,74.1,,67.6,,76.4,
2009,,,71.7,,71.2,,70.4,,69.9,,72.8,,74.2,,67.5,,76.7,
2010,,,71.9,,71.5,,70.7,,70.2,,73.2,,74.4,,67.6,,76.9,
2011,,,72.1,,71.6,,70.9,,70.4,,73.3,,74.6,,67.6,,77.2,
2012,,,72.2,,71.7,,71.0,,70.5,,73.5,,74.8,,67.6,,77.2,
2013,,,72.3,,71.8,,71.1,,70.6,,73.2,,74.8,,67.7,,77.0,
2014,,,72.4,,71.9,,71.2,,70.8,,73.1,,74.8,,67.7,,77.1,
2015,,,72.5,,72.0,,71.2,,70.8,,73.4,,74.9,,67.8,,77.3,
2016,,,72.1,,71.6,,70.7,,70.3,,72.2,,74.9,,68.0,,77.1,
2017,,,72.1,,71.5,,70.6,,70.3,,72.0,,74.8,,67.8,,77.9,
2018,,,72.3,,71.7,,70.9,,70.6,,72.2,,75.0,,68.1,,77.9,
2019,,,72.5,,71.9,,71.1,,70.9,,72.3,,75.2,,68.4,,77.6,
2020,,,72.5,,71.9,,71.7,,71.5,,72.3,,74.1,,68.2,,80.2,
2021,,,71.8,,71.3,,71.0,,71.0,,71.1,,73.6,,67.2,,77.4,
2022,,,71.5,,71.1,,70.7,,70.7,,70.7,,73.6,,67.0,,76.9,
2023p,,,71.8,,71.2,,70.9,,70.8,,71.0,,73.8,,67.0,,78.5,
2024e,,,73.0,,72.2,,72.0,,72.0,,72.0,,74.5,,68.3,,81.8,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nota:,,1 Termasuk etnik Lain-lain,,,,,,,,p Permulaan,,,,,,e Anggaran,,
Notes:,,   Includes Others,,,,,,,,   Preliminary,,,,,,  Estimates,,
,,,,,,,,,,,,,,,,,,
2010-2019:,,Berdasarkan Banci Penduduk dan Perumahan Malaysia 2010 (Banci 2010),,,,,,,,,,,,,,,,
,,Based on Population and Housing Census of Malaysia 2010 (Census 2010)  ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2020-2024:,,Berdasarkan Banci Penduduk dan Perumahan Malaysia 2020 (Banci 2020),,,,,,,,,,,,,,,,
,,Based on Population and Housing Census of Malaysia 2020 (Census 2020)  ,,,,,,,,,,,,,,,,
"Jadual 1.2: Jangkaan hayat ketika lahir mengikut jantina dan kumpulan etnik, Malaysia, 1991-2024 (samb.)",,,,,,,,,,,,,,,,,,
"Table 1.2: Life expectancy at birth by sex and ethnic group, Malaysia, 1991-2024 (cont'd)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,Warganegara,,,,,,,,,,,,,,
Tahun,,,Jumlah,Citizen,,,,,,,,,,,,,Bukan,
Year,,,,,,,,,,,,,,,,,Warganegara Non-citizen,
,,,Total,,Jumlah1 Total1,,Bumiputera ,,,,,,Cina Chinese,,India Indians,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,Jumlah,,Melayu,,Bumiputera Lain,,,,,,,
,,,,,,,Total,,Malay,,Other Bumiputera,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Perempuan,,,,,,,,,,,,,,,,,,
Female,,,,,,,,,,,,,,,,,,
1991,,,73.4,,73.5,,72.3,,72.2,,73.1,,76.4,,71.3,,70.7,
1992,,,73.8,,73.8,,72.9,,72.8,,73.3,,76.6,,71.8,,72.6,
1993,,,74.0,,74.0,,73.1,,73.1,,73.5,,76.7,,72.0,,72.6,
1994,,,74.1,,74.2,,73.2,,73.3,,73.4,,76.8,,72.3,,71.4,
1995,,,74.3,,74.4,,73.4,,73.4,,73.5,,77.1,,72.4,,70.0,
1996,,,74.3,,74.4,,73.4,,73.3,,73.7,,77.2,,72.5,,69.6,
1997,,,74.5,,74.6,,73.5,,73.4,,73.9,,77.3,,73.0,,70.5,
1998,,,74.3,,74.4,,73.2,,73.0,,74.2,,77.3,,73.0,,72.2,
1999,,,74.4,,74.4,,73.1,,73.0,,74.2,,77.4,,73.4,,74.2,
2000,,,74.6,,74.6,,73.3,,73.0,,74.7,,77.6,,73.5,,75.7,
2001,,,75.1,,75.1,,73.9,,73.6,,75.6,,77.8,,74.1,,75.8,
2002,,,75.2,,75.1,,73.9,,73.6,,75.6,,77.9,,74.2,,75.9,
2003,,,75.5,,75.4,,74.2,,73.9,,75.8,,78.1,,74.5,,76.1,
2004,,,75.8,,75.7,,74.6,,74.4,,75.9,,78.3,,75.0,,76.3,
2005,,,76.0,,76.0,,74.8,,74.6,,75.9,,78.5,,75.2,,76.5,
2006,,,76.1,,76.0,,74.9,,74.7,,75.9,,78.7,,75.3,,76.6,
2007,,,76.2,,76.1,,74.9,,74.7,,75.9,,78.8,,75.4,,76.5,
2008,,,76.2,,76.1,,75.0,,74.7,,76.0,,78.9,,75.5,,76.6,
2009,,,76.3,,76.2,,75.1,,74.9,,76.3,,78.9,,75.5,,76.9,
2010,,,76.6,,76.5,,75.4,,75.2,,76.7,,79.1,,75.7,,77.2,
2011,,,76.8,,76.6,,75.6,,75.4,,76.8,,79.3,,75.8,,77.6,
2012,,,76.9,,76.8,,75.7,,75.5,,76.9,,79.6,,75.8,,77.8,
2013,,,76.9,,76.8,,75.7,,75.7,,76.0,,79.6,,75.8,,78.0,
2014,,,77.0,,76.9,,75.8,,75.7,,76.5,,79.7,,75.8,,78.0,
2015,,,77.1,,76.9,,75.9,,75.8,,76.0,,79.8,,76.0,,78.0,
2016,,,77.0,,76.9,,75.7,,75.6,,76.2,,80.0,,76.0,,78.2,
2017,,,77.1,,76.9,,75.7,,75.6,,76.1,,80.1,,75.9,,78.9,
2018,,,77.2,,77.1,,75.9,,75.9,,76.2,,80.2,,76.0,,78.8,
2019,,,77.4,,77.3,,76.2,,76.1,,76.3,,80.4,,76.1,,78.5,
2020,,,77.2,,77.1,,76.4,,76.4,,76.3,,79.6,,75.5,,80.8,
2021,,,76.5,,76.4,,75.6,,75.7,,75.3,,79.4,,74.7,,76.8,
2022,,,76.4,,76.3,,75.5,,75.6,,75.1,,79.5,,74.6,,76.3,
2023p,,,76.6,,76.5,,75.7,,75.7,,75.5,,79.7,,74.6,,78.2,
2024e,,,77.8,,77.5,,76.9,,76.9,,76.5,,80.2,,75.6,,82.4,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nota:,,1 Termasuk etnik Lain-lain,,,,,,,,p Permulaan,,,,,,e Anggaran,,
Notes:,,   Includes Others,,,,,,,,   Preliminary,,,,,,  Estimates,,
,,,,,,,,,,,,,,,,,,
2010-2019:,,Berdasarkan Banci Penduduk dan Perumahan Malaysia 2010 (Banci 2010),,,,,,,,,,,,,,,,
,,Based on Population and Housing Census of Malaysia 2010 (Census 2010)  ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2020-2024:,,Berdasarkan Banci Penduduk dan Perumahan Malaysia 2020 (Banci 2020),,,,,,,,,,,,,,,,
,,Based on Population and Housing Census of Malaysia 2020 (Census 2020)  ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
